complex_id,stop_name,georeference,borough,num_art_pieces
232,"2 Av","POINT (-73.989938 40.723402)",M,0
282,"21 St","POINT (-73.949724 40.744065)",Q,0
221,"21 St-Queensbridge","POINT (-73.942836 40.754203)",Q,0
297,"215 St","POINT (-73.915279 40.869444)",M,0
228,"23 St","POINT (-73.992821 40.742878)",M,0
320,"23 St","POINT (-73.995657 40.744081)",M,0
165,"23 St","POINT (-73.998041 40.745906)",M,0
294,"238 St","POINT (-73.90087 40.884667)",Bx,0
31,"25 St","POINT (-73.998091 40.660397)",Bk,0
319,"28 St","POINT (-73.993365 40.747215)",M,0
118,"3 Av","POINT (-73.986122 40.732849)",M,0
377,"3 Av-138 St","POINT (-73.926138 40.810476)",Bx,0
460,"33 St-Rawson St","POINT (-73.930997 40.744587)",Q,0
272,"36 St","POINT (-73.928781 40.752039)",Q,0
608,"4 Av-9 St","POINT (-73.988302 40.670847)",Bk,0
459,"40 St-Lowery St","POINT (-73.924016 40.743781)",Q,0
609,"42 St-Bryant Pk","POINT (-73.984569 40.754222)",M,0
33,"45 St","POINT (-74.010006 40.648939)",Bk,0
270,"46 St","POINT (-73.913333 40.756312)",Q,0
458,"46 St-Bliss St","POINT (-73.918435 40.743132)",Q,0
225,"47-50 Sts-Rockefeller Ctr","POINT (-73.981329 40.758663)",M,0
10,"49 St","POINT (-73.984139 40.759901)",M,0
8,"5 Av/59 St","POINT (-73.973347 40.764811)",M,0
457,"52 St","POINT (-73.912549 40.744149)",Q,0
62,"55 St","POINT (-73.995476 40.631435)",Bk,0
35,"59 St","POINT (-74.017881 40.641362)",Bk,0
601,"6 Av","POINT (-73.996786 40.737335)",M,0
456,"61 St-Woodside","POINT (-73.902984 40.74563)",Q,0
263,"63 Dr-Rego Park","POINT (-73.861604 40.729846)",Q,0
268,"65 St","POINT (-73.898453 40.749669)",Q,0
262,"67 Av","POINT (-73.852719 40.726523)",Q,0
399,"68 St-Hunter College","POINT (-73.96387 40.768141)",M,0
455,"69 St","POINT (-73.896403 40.746325)",Q,0
240,"7 Av","POINT (-73.980305 40.666271)",Bk,0
41,"7 Av","POINT (-73.972367 40.67705)",Bk,0
277,"7 Av","POINT (-73.981637 40.762862)",M,0
260,"75 Av","POINT (-73.837324 40.718331)",Q,0
85,"75 St-Elderts Ln","POINT (-73.867139 40.691324)",Q,0
37,"77 St","POINT (-74.02551 40.629742)",Bk,0
312,"79 St","POINT (-73.979917 40.783934)",M,0
618,"8 Av","POINT (-74.002578 40.739777)",M,0
453,"82 St-Jackson Hts","POINT (-73.883697 40.747659)",Q,0
84,"85 St-Forest Pkwy","POINT (-73.86001 40.692435)",Q,0
452,"90 St-Elmhurst Av","POINT (-73.876613 40.748408)",Q,0
157,"96 St","POINT (-73.964696 40.791642)",M,0
515,Annadale,"POINT (-74.178217 40.54046)",SI,0
196,"Aqueduct Racetrack","POINT (-73.835254 40.672369)",Q,0
197,"Aqueduct-N Conduit Av","POINT (-73.834058 40.668234)",Q,0
523,"Arthur Kill","POINT (-74.242096 40.516578)",SI,0
