complex_id,station_complex,borough,complex_latitude,complex_longitude,ridership,num_art_pieces
414,"Bowling Green (4,5)",Manhattan,40.704817,-74.014065,3675220,0
456,"61 St-Woodside (7)",Queens,40.74563,-73.902984,2770777,0
380,"Bedford Park Blvd-Lehman College (4)",Bronx,40.873412,-73.890064,788520,1
188,"Euclid Av (A,C)",Brooklyn,40.675377,-73.872106,1591064,0
37,"77 St (R)",Brooklyn,40.629742,-74.02551,881935,0
378,"Woodlawn (4)",Bronx,40.886037,-73.878751,971765,0
202,"Beach 105 St (A,S)",Queens,40.583209,-73.827559,60281,1
204,"Beach 67 St (A)",Queens,40.590927,-73.796924,365997,1
209,"Far Rockaway-Mott Av (A)",Queens,40.603995,-73.755405,716647,1
36,"Bay Ridge Av (R)",Brooklyn,40.634967,-74.023377,1282270,1
382,"Fordham Rd (4)",Bronx,40.862803,-73.901034,1374341,1
200,"Beach 90 St (A,S)",Queens,40.588034,-73.813641,136709,1
619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,40.725606,-73.9954315,6913596,1
199,"Broad Channel (A,S)",Queens,40.608382,-73.815925,46171,0
283,"Greenpoint Av (G)",Brooklyn,40.731352,-73.954449,1535183,0
135,"Livonia Av (L)",Brooklyn,40.664038,-73.900571,423990,1
455,"69 St (7)",Queens,40.746325,-73.896403,1020591,0
437,"145 St (3)",Manhattan,40.820421,-73.936245,419081,1
89,"Cleveland St (J)",Brooklyn,40.679947,-73.884639,290792,1
208,"Beach 25 St (A)",Queens,40.600066,-73.761353,227494,1
157,"96 St (C,B)",Manhattan,40.791642,-73.964696,1632526,0
4,"Broadway (N,W)",Queens,40.76182,-73.925508,2020449,1
94,"Halsey St (J)",Brooklyn,40.68637,-73.916559,863358,1
189,"Grant Av (A)",Brooklyn,40.677044,-73.86505,835646,0
314,"66 St-Lincoln Center (1)",Manhattan,40.77344,-73.982209,3299091,1
108,"Middle Village-Metropolitan Av (M)",Queens,40.711396,-73.889601,633773,0
261,"Forest Hills-71 Av (E,F,M,R)",Queens,40.721691,-73.844521,4232449,0
614,"59 St-Columbus Circle (A,B,C,D,1)",Manhattan,40.7682715,-73.9818325,11975696,1
260,"75 Av (E,F)",Queens,40.718331,-73.837324,546384,0
168,"Spring St (C,E)",Manhattan,40.726227,-74.003739,2283043,0
75,"20 Av (N)",Brooklyn,40.61741,-73.985026,699437,1
276,"5 Av/53 St (E,M)",Manhattan,40.760167,-73.975224,3335755,1
90,"Van Siclen Av (J,Z)",Brooklyn,40.678024,-73.891688,368589,1
221,"21 St-Queensbridge (F)",Queens,40.754203,-73.942836,1047080,0
180,"Kingston-Throop Avs (C)",Brooklyn,40.679921,-73.940858,1112818,0
56,"Ocean Pkwy (Q)",Brooklyn,40.576312,-73.968501,510946,1
350,"Pennsylvania Av (3)",Brooklyn,40.664635,-73.894895,563917,1
9,"57 St-7 Av (N,Q,R,W)",Manhattan,40.764664,-73.980658,5953379,1
447,"Flushing-Main St (7)",Queens,40.7596,-73.83003,10802740,1
34,"53 St (R)",Brooklyn,40.645069,-74.014034,1385429,1
61,"50 St (D)",Brooklyn,40.63626,-73.994791,551662,1
305,"137 St-City College (1)",Manhattan,40.822008,-73.953676,1838523,1
234,"East Broadway (F)",Manhattan,40.713715,-73.990173,2605247,0
421,"Gun Hill Rd (2,5)",Bronx,40.87785,-73.866256,894032,1
190,"80 St (A)",Queens,40.679371,-73.858992,648426,1
379,"Mosholu Pkwy (4)",Bronx,40.87975,-73.884655,1065292,1
118,"3 Av (L)",Manhattan,40.732849,-73.986122,1226493,0
134,"Sutter Av (L)",Brooklyn,40.669367,-73.901975,336362,1
297,"215 St (1)",Manhattan,40.869444,-73.915279,370683,0
246,"Avenue I (F)",Brooklyn,40.625322,-73.976127,252816,1
300,"191 St (1)",Manhattan,40.855225,-73.929412,1101597,1
354,"Sterling St (2,5)",Brooklyn,40.662742,-73.95085,904042,0
444,"Gun Hill Rd (5)",Bronx,40.869526,-73.846384,601708,1
